,,fv,strain,bact,population
RA4-A,RA4-A_T5.000,0.5173,RA4,xenic,PopA
RA4-B,RA4-B_T5.000,0.5206,RA4,xenic,PopA
RA4-C,RA4-C_T5.000,0.5189,RA4,xenic,PopA
RA5-A,RA5-A_T5.000,0.555,RA5,xenic,PopA
RA5-B,RA5-B_T5.000,0.5523,RA5,xenic,PopA
RA5-C,RA5-C_T5.000,0.5631,RA5,xenic,PopA
RD4-A,RD4-A_T5.000,0.4247,RD4,xenic,PopA
RD4-B,RD4-B_T5.000,0.4164,RD4,xenic,PopA
RD4-C,RD4-C_T5.000,0.4349,RD4,xenic,PopA
NB4-A,NB4-A_T5.000,0.5111,NB4,xenic,PopC
NB4-B,NB4-B_T5.000,0.4993,NB4,xenic,PopC
NB4-C,NB4-C_T5.000,0.4821,NB4,xenic,PopC
NB6-A,NB6-A_T5.000,0.509,NB6,xenic,PopC
NB6-B,NB6-B_T5.000,0.5045,NB6,xenic,PopC
NB6-C,NB6-C_T5.000,0.5166,NB6,xenic,PopC
NB7-A,NB7-A_T5.000,0.5092,NB7,xenic,PopC
NB7-B,NB7-B_T5.000,0.5031,NB7,xenic,PopC
NB7-C,NB7-C_T5.000,0.4929,NB7,xenic,PopC
YC5-A,YC5-A_T5.000,0.5446,YC5,xenic,PopB
YC5-B,YC5-B_T5.000,0.5703,YC5,xenic,PopB
YC5-C,YC5-C_T5.000,0.5707,YC5,xenic,PopB
YE5-A,YE5-A_T5.000,0.4284,YE5,xenic,PopB
YE5-B,YE5-B_T5.000,0.4316,YE5,xenic,PopB
YE5-C,YE5-C_T5.000,0.4207,YE5,xenic,PopB
RA4-A-AX,RA4-A-AX_T5.000,0.5323,RA4,axenic,PopA
RA4-B-AX,RA4-B-AX_T5.000,0.5333,RA4,axenic,PopA
RA4-C-AX,RA4-C-AX_T5.000,0.523,RA4,axenic,PopA
RA5-A-AX,RA5-A-AX_T5.000,0.5474,RA5,axenic,PopA
RA5-B-AX,RA5-B-AX_T5.000,0.5456,RA5,axenic,PopA
RA5-C-AX,RA5-C-AX_T5.000,0.5421,RA5,axenic,PopA
RD4-A-AX,RD4-A-AX_T5.000,0.462,RD4,axenic,PopA
RD4-B-AX,RD4-B-AX_T5.000,0.4982,RD4,axenic,PopA
RD4-C-AX,RD4-C-AX_T5.000,0.455,RD4,axenic,PopA
NB4-A-AX,NB4-A-AX_T5.000,0.545,NB4,axenic,PopC
NB4-B-AX,NB4-B-AX_T5.000,0.5101,NB4,axenic,PopC
NB4-C-AX,NB4-C-AX_T5.000,0.5209,NB4,axenic,PopC
NB6-A-AX,NB6-A-AX_T5.000,0.5427,NB6,axenic,PopC
NB6-B-AX,NB6-B-AX_T5.000,0.5293,NB6,axenic,PopC
NB6-C-AX,NB6-C-AX_T5.000,0.5318,NB6,axenic,PopC
NB7-A-AX,NB7-A-AX_T5.000,0.4952,NB7,axenic,PopC
NB7-B-AX,NB7-B-AX_T5.000,0.4772,NB7,axenic,PopC
NB7-C-AX,NB7-C-AX_T5.000,0.4678,NB7,axenic,PopC
YC5-A-AX,YC5-A-AX_T5.000,0.5543,YC5,axenic,PopB
YC5-B-AX,YC5-B-AX_T5.000,0.5704,YC5,axenic,PopB
YC5-C-AX,YC5-C-AX_T5.000,0.5643,YC5,axenic,PopB
YE5-A-AX,YE5-A-AX_T5.000,0.4733,YE5,axenic,PopB
YE5-B-AX,YE5-B-AX_T5.000,0.4822,YE5,axenic,PopB
YE5-C-AX,YE5-C-AX_T5.000,0.4698,YE5,axenic,PopB